step,temperature_before,temperature,workload,cooling,action,energy,reward,reward/total,reward/energy_penalty,reward/temp_penalty,reward/stability_bonus
0,36.45344710827015,35.014362876687144,1.8697192280566535,2,2,4.0,1.1999990831458691,1.2,-0.8,0.0,2.0
1,35.014362876687144,33.53378178102457,1.731396347791438,2,2,8.0,0.39046813823354554,0.3905,-1.6,0.0,1.9905
2,33.53378178102457,32.02648487858576,1.6423436585373081,2,2,12.0,-0.43891330955877117,-0.4389,-2.4,0.0,1.9611
3,32.02648487858576,30.687664070170683,2.2039306386163986,2,2,16.0,-1.2809654900194138,-1.281,-3.2,0.0,1.919
4,30.687664070170683,29.31822207364771,2.1018600115900887,2,2,20.0,-2.1384526163672195,-2.1385,-4.0,0.0,1.8615
5,29.31822207364771,27.58941525768291,0.9039772801173227,2,2,24.0,-3.0297692199659734,-3.0298,-4.8,0.0,1.7702
6,27.58941525768291,27.940364844294358,1.1698319553714949,0,0,24.0,-3.0096787505584817,-3.0097,-4.8,0.0,1.7903
7,27.940364844294358,26.227153436066487,0.9559619725737603,2,2,28.0,-3.914404937530477,-3.9144,-5.6,0.0,1.6856
8,26.227153436066487,26.461871943643768,0.7823950252576042,0,0,28.0,-3.899116195086931,-3.8991,-5.6,0.0,1.7009
9,26.461871943643768,24.724402800029253,0.8751028546182882,2,2,32.0,-4.818288628092734,-4.8183,-6.4,0.0,1.5817
10,24.724402800029253,25.042685113272352,1.0609410441436649,0,0,32.0,-4.795490623299457,-4.7955,-6.4,0.0,1.6045
11,25.042685113272352,23.640221511299245,1.9917879934229794,2,2,36.0,-5.698624819040948,-5.6986,-7.2,0.0,1.5014
12,23.640221511299245,24.395350670957818,2.5170971988619146,0,0,36.0,-5.642255084276426,-5.6423,-7.2,0.0,1.5577
13,24.395350670957818,23.177001553202913,2.6055029408169803,2,2,40.0,-6.53402926295744,-6.534,-8.0,0.0,1.466
14,23.177001553202913,23.78145525088525,2.0148456589411237,0,0,40.0,-6.487947885591675,-6.4879,-8.0,0.0,1.5121
15,23.78145525088525,22.142389980370538,1.20311576495095,2,2,44.0,-7.414898328042974,-7.4149,-8.8,0.0,1.3851
16,22.142389980370538,22.562446836706513,1.4001895211199116,0,0,44.0,-7.381804113679376,-7.3818,-8.8,0.0,1.4182
17,22.562446836706513,21.29716309157146,2.4490541828831502,2,2,48.0,-8.282302971389939,-8.2823,-9.6,0.0,1.3177
18,21.29716309157146,22.041876993773215,2.4823796740058572,0,0,48.0,-8.222862199709521,-8.2229,-9.6,0.0,1.3771
19,22.041876993773215,20.761073305469985,2.39732103898923,2,2,52.0,-9.12544357333792,-9.1254,-10.4,0.0,1.2746
20,20.761073305469985,21.60789591006296,2.822742015309925,0,0,52.0,-9.057417409944806,-9.0574,-10.4,0.0,1.3426
21,21.60789591006296,20.105867643133855,1.6599057769029828,2,2,56.0,-9.978377226793558,-9.9784,-11.2,0.0,1.2216
22,20.105867643133855,20.528892820090057,1.410083923187335,0,0,56.0,-9.944184597168334,-9.9442,-11.2,0.0,1.2558
23,20.528892820090057,21.069605004868702,1.8023739492621549,0,0,56.0,-9.900588023020804,-9.9006,-11.2,0.0,1.2994
24,21.069605004868702,20.819934242138416,2.501097457565712,1,1,58.0,-10.320696894562822,-10.3207,-11.6,0.0,1.2793
25,20.819934242138416,21.5125123579709,2.3085937194416037,0,0,58.0,-10.265045012401517,-10.265,-11.6,0.0,1.335
26,21.5125123579709,21.295474439888476,2.6098736063919317,1,1,60.0,-10.68243848659936,-10.6824,-12.0,0.0,1.3176
27,21.295474439888476,22.138007749644874,2.808444365854663,0,0,60.0,-10.615245204033787,-10.6152,-12.0,0.0,1.3848
28,22.138007749644874,21.168299493490146,3.434305812817577,2,2,64.0,-11.492652010644377,-11.4927,-12.8,0.0,1.3073
29,21.168299493490146,21.931417905915858,2.5437280414190386,0,0,64.0,-11.431632187589765,-11.4316,-12.8,0.0,1.3684
30,21.931417905915858,20.830916483362063,2.9983285914873474,2,2,68.0,-12.31981148910642,-12.3198,-13.6,0.0,1.2802
31,20.830916483362063,21.366930166794234,1.7867122781072355,0,0,68.0,-12.276706585264556,-12.2767,-13.6,0.0,1.3233
32,21.366930166794234,20.366930166794234,0.0,1,1,70.0,-12.757270715608731,-12.7573,-14.0,0.0,1.2427
33,20.366930166794234,20.366930166794234,0.0,0,0,70.0,-12.757270715608731,-12.7573,-14.0,0.0,1.2427
34,20.366930166794234,20.366930166794234,0.0,0,0,70.0,-12.757270715608731,-12.7573,-14.0,0.0,1.2427
35,20.366930166794234,20.57717310512777,0.7008097944451251,0,0,70.0,-12.74028550834668,-12.7403,-14.0,0.0,1.2597
36,20.57717310512777,20.946839859368403,1.232222514135441,0,0,70.0,-12.710470268197133,-12.7105,-14.0,0.0,1.2895
37,20.946839859368403,21.02392867569807,0.25696272109888474,0,0,70.0,-12.704263514744422,-12.7043,-14.0,0.0,1.2957
38,21.02392867569807,21.304384233631254,0.934851859777285,0,0,70.0,-12.681723502061585,-12.6817,-14.0,0.0,1.3183
39,21.304384233631254,21.344311113746276,0.13308960038340523,0,0,70.0,-12.678520446337007,-12.6785,-14.0,0.0,1.3215
40,21.344311113746276,19.36353947074059,0.06409452331437789,2,2,74.0,-13.638379170830378,-13.6384,-14.8,0.0,1.1616
41,19.36353947074059,19.36353947074059,0.0,0,0,74.0,-13.638379170830378,-13.6384,-14.8,0.0,1.1616
42,19.36353947074059,19.391000236531212,0.09153588596873698,0,0,74.0,-13.636162171546026,-13.6362,-14.8,0.0,1.1638
43,19.391000236531212,19.614933717092338,0.7464449352037505,0,0,74.0,-13.618072485425191,-13.6181,-14.8,0.0,1.1819
44,19.614933717092338,19.99208650744365,1.2571759678377052,0,0,74.0,-13.587578650630146,-13.5876,-14.8,0.0,1.2124
45,19.99208650744365,20.45321172224357,1.5370840493330722,0,0,74.0,-13.550298342272454,-13.5503,-14.8,0.0,1.2497
46,20.45321172224357,21.070324480517,2.057042527578111,0,0,74.0,-13.500530141179961,-13.5005,-14.8,0.0,1.2995
47,21.070324480517,20.802275327826464,2.4398361576982057,1,1,76.0,-13.922120736313648,-13.9221,-15.2,0.0,1.2779
48,20.802275327826464,21.383749663483222,1.9382477855225257,0,0,76.0,-13.875358139493184,-13.8754,-15.2,0.0,1.3246
49,21.383749663483222,20.793054936624,1.3643509104692637,1,1,78.0,-14.32286425181285,-14.3229,-15.6,0.0,1.2771
50,20.793054936624,21.089567823972136,0.9883762911604527,0,0,78.0,-14.298982167101318,-14.299,-15.6,0.0,1.301
51,21.089567823972136,21.5059190474347,1.387837411541878,0,0,78.0,-14.265572653956873,-14.2656,-15.6,0.0,1.3344
52,21.5059190474347,20.862242533857888,1.1877449547439705,1,1,80.0,-14.717286343491102,-14.7173,-16.0,0.0,1.2827
53,20.862242533857888,21.77914703367641,3.056348332728409,0,0,80.0,-14.643750946792238,-14.6438,-16.0,0.0,1.3562
54,21.77914703367641,20.499421323370175,2.400914298979214,2,2,84.0,-15.54656514711003,-15.5466,-16.8,0.0,1.2534
55,20.499421323370175,20.955965709087423,1.5218146190574875,0,0,84.0,-15.509735282560069,-15.5097,-16.8,0.0,1.2903
56,20.955965709087423,20.596943738517396,2.1365934314332446,1,1,86.0,-15.938689122556307,-15.9387,-17.2,0.0,1.2613
57,20.596943738517396,21.579165763469803,3.274073416508017,0,0,86.0,-15.859713765193003,-15.8597,-17.2,0.0,1.3403
58,21.579165763469803,20.68275403422363,3.678627569179425,2,2,90.0,-16.73176239962432,-16.7318,-18.0,0.0,1.2682
59,20.68275403422363,21.9869384680097,4.347281445953564,0,0,90.0,-16.62722178638153,-16.6272,-18.0,0.0,1.3728
60,21.9869384680097,21.633445696381887,5.488357427907293,2,2,94.0,-17.45537609481149,-17.4554,-18.8,0.0,1.3446
61,21.633445696381887,21.257386330510162,5.41313544709425,2,2,98.0,-18.28549580396729,-18.2855,-19.6,0.0,1.3145
62,21.257386330510162,20.539816820685083,4.274768300583069,2,2,102.0,-19.14330229910234,-19.1433,-20.4,0.0,1.2567
63,20.539816820685083,19.694548939263512,3.8491070619280983,2,2,106.0,-20.011637341564956,-20.0116,-21.2,0.0,1.1884
64,19.694548939263512,21.07797603959792,4.611423667781359,0,0,106.0,-19.899914598497467,-19.8999,-21.2,0.0,1.3001
65,21.07797603959792,20.11492032247354,3.456480942918729,2,2,110.0,-20.77764516955615,-20.7776,-22.0,0.0,1.2224
66,20.11492032247354,21.159912122338103,3.483305999548538,0,0,110.0,-20.69332611911919,-20.6933,-22.0,0.0,1.3067
67,21.159912122338103,20.26568088844476,3.685895887022187,2,2,114.0,-21.565455123300275,-21.5655,-22.8,0.0,1.2345
68,20.26568088844476,21.295707534996133,3.4334221551712507,0,0,114.0,-21.482419780426838,-21.4824,-22.8,0.0,1.3176
69,21.295707534996133,20.49940585827585,4.012327744265728,2,2,118.0,-22.346566396382503,-22.3466,-23.6,0.0,1.2534
70,20.49940585827585,21.842491319521944,4.476951537486981,0,0,118.0,-22.23870562644157,-22.2387,-23.6,0.0,1.3613
71,21.842491319521944,21.742714824824212,6.334078351007566,2,2,122.0,-23.046655199943398,-23.0467,-24.4,0.0,1.3533
72,21.742714824824212,21.791730594392035,6.830052565226074,2,2,126.0,-23.84274824055251,-23.8427,-25.2,0.0,1.3573
73,21.791730594392035,21.694489533885523,6.342529798311625,2,2,130.0,-24.650502238896827,-24.6505,-26.0,0.0,1.3495
74,21.694489533885523,21.462417051218843,5.8930917244444005,2,2,134.0,-25.469055201574463,-25.4691,-26.8,0.0,1.3309
75,21.462417051218843,21.03076510425408,5.227826843450796,2,2,138.0,-26.303713297092845,-26.3037,-27.6,0.0,1.2963
76,21.03076510425408,20.827658811645115,5.989645691303452,2,2,142.0,-27.120074120026644,-27.1201,-28.4,0.0,1.2799
77,20.827658811645115,20.488512638680863,5.5361794234524915,2,2,146.0,-27.947446373691736,-27.9474,-29.2,0.0,1.2526
78,20.488512638680863,20.132503880028466,5.479970804492013,2,2,150.0,-28.776223271141355,-28.7762,-30.0,0.0,1.2238
79,20.132503880028466,19.956327750005592,6.079412899923753,2,2,154.0,-29.590470478415977,-29.5905,-30.8,0.0,1.2095
80,19.956327750005592,19.60652050222638,5.5006425074026275,2,2,158.0,-30.418752414257334,-30.4188,-31.6,0.0,1.1812
81,19.60652050222638,19.186235343178918,5.265716136508453,2,2,162.0,-31.25268478285044,-31.2527,-32.4,0.0,1.1473
82,19.186235343178918,18.324041480386512,3.7926871240253197,2,2,166.0,-32.12192746951637,-32.1219,-33.2,0.0,1.0781
