step,temperature_before,temperature,workload,cooling,action,energy,reward,reward/total,reward/energy_penalty,reward/temp_penalty,reward/stability_bonus
0,38.83103357992985,37.45321796724893,2.073947957730279,2,2,4.0,1.1734301639070543,1.1734,-0.8,0.0,1.9734
1,37.45321796724893,36.03390549048845,1.9356250774650636,2,2,8.0,0.3952547025456279,0.3953,-1.6,0.0,1.9953
2,36.03390549048845,34.58787720695173,1.8465723882109337,2,2,12.0,-0.40075472510189214,-0.4008,-2.4,0.0,1.9992
3,34.58787720695173,33.310325017438736,2.408159368290024,2,2,16.0,-1.2126487287349248,-1.2126,-3.2,0.0,1.9874
4,33.310325017438736,32.00215163981785,2.3060887412637143,2,2,20.0,-2.0395464318288288,-2.0395,-4.0,0.0,1.9605
5,32.00215163981785,30.334613442755135,1.1082060097909483,2,2,24.0,-2.8944347845263065,-2.8944,-4.8,0.0,1.9056
6,30.334613442755135,28.74683164826867,1.3740606850451205,2,2,28.0,-3.7664507067952036,-3.7665,-5.6,0.0,1.8335
7,28.74683164826867,29.094888858942888,1.1601907022473859,0,0,28.0,-3.749126774565852,-3.7491,-5.6,0.0,1.8509
8,29.094888858942888,27.390875985422255,0.9866237549312298,2,2,32.0,-4.641461175160671,-4.6415,-6.4,0.0,1.7585
9,27.390875985422255,27.71467546070983,1.0793315842919138,0,0,32.0,-4.622512914887597,-4.6225,-6.4,0.0,1.7775
10,27.71467546070983,26.094226392855017,1.2651697738172905,2,2,36.0,-5.523184420983057,-5.5232,-7.2,0.0,1.6768
11,26.094226392855017,26.753031409783997,2.196016723096605,0,0,36.0,-5.48054339801454,-5.4805,-7.2,0.0,1.7195
12,26.753031409783997,25.56942918834466,2.7213259285355402,2,2,40.0,-6.358661007434461,-6.3587,-8.0,0.0,1.6413
13,25.56942918834466,26.412348689491843,2.809731670490606,0,0,40.0,-6.302318867017761,-6.3023,-8.0,0.0,1.6977
14,26.412348689491843,25.078071006076268,2.2190743886147493,2,2,44.0,-7.192980475718489,-7.193,-8.8,0.0,1.607
15,25.078071006076268,25.50027435446364,1.4073444946245757,0,0,44.0,-7.1634289846148915,-7.1634,-8.8,0.0,1.6366
16,25.50027435446364,23.981599829701704,1.6044182507935372,2,2,48.0,-8.072919144455696,-8.0729,-9.6,0.0,1.5271
17,23.981599829701704,24.777584703468737,2.653282912556776,0,0,48.0,-8.014452293317593,-8.0145,-9.6,0.0,1.5855
18,24.777584703468737,23.583567224572583,2.686608403679483,2,2,52.0,-8.902923829074613,-8.9029,-10.4,0.0,1.4971
19,23.583567224572583,24.36403215517144,2.6015497686628555,0,0,52.0,-8.844556161365318,-8.8446,-10.4,0.0,1.5554
20,24.36403215517144,23.272123378666507,3.026970744983551,2,2,56.0,-9.726713132028395,-9.7267,-11.2,0.0,1.4733
21,23.272123378666507,23.831363730639488,1.8641345065766084,0,0,56.0,-9.684188929376274,-9.6842,-11.2,0.0,1.5158
22,23.831363730639488,22.315657526497777,1.6143126528609606,2,2,60.0,-10.601209137324368,-10.6012,-12.0,0.0,1.3988
23,22.315657526497777,22.917638330178512,2.0066026789357805,0,0,60.0,-10.5540891285319,-10.5541,-12.0,0.0,1.4459
24,22.917638330178512,21.729236186350313,2.705326187239338,2,2,64.0,-11.447730116495812,-11.4477,-12.8,0.0,1.3523
25,21.729236186350313,22.483082921084883,2.51282244911523,0,0,64.0,-11.388031987683208,-11.388,-12.8,0.0,1.412
26,22.483082921084883,21.32731362190455,2.8141023360655577,2,2,68.0,-12.279883843721876,-12.2799,-13.6,0.0,1.3201
27,21.32731362190455,22.23111555056304,3.012673095528289,0,0,68.0,-12.207882082371844,-12.2079,-13.6,0.0,1.3921
28,22.23111555056304,21.322675913310402,3.638534542491203,2,2,72.0,-13.08025589206961,-13.0803,-14.4,0.0,1.3197
29,21.322675913310402,22.1470629446382,2.7479567710926647,0,0,72.0,-13.01452847355364,-13.0145,-14.4,0.0,1.3855
30,22.1470629446382,21.107830140986493,3.2025573211609735,2,2,76.0,-13.897513385955651,-13.8975,-15.2,0.0,1.3025
31,21.107830140986493,21.70511244332075,1.9909410077808616,0,0,76.0,-13.84965456729982,-13.8497,-15.2,0.0,1.3503
32,21.70511244332075,20.70511244332075,0.0,1,1,78.0,-14.329958185882047,-14.33,-15.6,0.0,1.27
33,20.70511244332075,20.70511244332075,0.0,0,0,78.0,-14.329958185882047,-14.33,-15.6,0.0,1.27
34,20.70511244332075,20.70511244332075,0.0,0,0,78.0,-14.329958185882047,-14.33,-15.6,0.0,1.27
35,20.70511244332075,20.915355381654287,0.7008097944451251,0,0,78.0,-14.313006436841231,-14.313,-15.6,0.0,1.287
36,20.915355381654287,21.28502213589492,1.232222514135441,0,0,78.0,-14.283277350903207,-14.2833,-15.6,0.0,1.3167
37,21.28502213589492,20.362110952224587,0.25696272109888474,1,1,80.0,-14.757660217134575,-14.7577,-16.0,0.0,1.2423
38,20.362110952224587,20.64256651015777,0.934851859777285,0,0,80.0,-14.735005959946415,-14.735,-16.0,0.0,1.265
39,20.64256651015777,20.682493390272793,0.13308960038340523,0,0,80.0,-14.731783433804729,-14.7318,-16.0,0.0,1.2682
40,20.682493390272793,20.701721747267108,0.06409452331437789,0,0,80.0,-14.730231781934362,-14.7302,-16.0,0.0,1.2698
41,20.701721747267108,20.701721747267108,0.0,0,0,80.0,-14.730231781934362,-14.7302,-16.0,0.0,1.2698
42,20.701721747267108,20.72918251305773,0.09153588596873698,0,0,80.0,-14.728016139335246,-14.728,-16.0,0.0,1.272
43,20.72918251305773,20.953115993618855,0.7464449352037505,0,0,80.0,-14.709964789126737,-14.71,-16.0,0.0,1.29
44,20.953115993618855,21.330268783970165,1.2571759678377052,0,0,80.0,-14.679646784508607,-14.6796,-16.0,0.0,1.3204
45,21.330268783970165,20.791393998770086,1.5370840493330722,1,1,82.0,-15.122998192104113,-15.123,-16.4,0.0,1.277
46,20.791393998770086,21.40850675704352,2.057042527578111,0,0,82.0,-15.073373858265613,-15.0734,-16.4,0.0,1.3266
47,21.40850675704352,21.14045760435298,2.4398361576982057,1,1,84.0,-15.494889947648568,-15.4949,-16.8,0.0,1.3051
48,21.14045760435298,21.72193194000974,1.9382477855225257,0,0,84.0,-15.44831272674287,-15.4483,-16.8,0.0,1.3517
49,21.72193194000974,21.131237213150516,1.3643509104692637,1,1,86.0,-15.895631230457305,-15.8956,-17.2,0.0,1.3044
50,21.131237213150516,21.427750100498653,0.9883762911604527,0,0,86.0,-15.871831950318386,-15.8718,-17.2,0.0,1.3282
51,21.427750100498653,20.844101323961215,1.387837411541878,1,1,88.0,-16.318748604380204,-16.3187,-17.6,0.0,1.2813
52,20.844101323961215,21.200424810384405,1.1877449547439705,0,0,88.0,-16.29007060973956,-16.2901,-17.6,0.0,1.3099
53,21.200424810384405,21.117329310202926,3.056348332728409,1,1,90.0,-16.696749505718046,-16.6967,-18.0,0.0,1.3033
54,21.117329310202926,20.837603599896692,2.400914298979214,1,1,92.0,-17.1192723994625,-17.1193,-18.4,0.0,1.2807
55,20.837603599896692,21.29414798561394,1.5218146190574875,0,0,92.0,-17.082544937206666,-17.0825,-18.4,0.0,1.3175
56,21.29414798561394,20.935126015043913,2.1365934314332446,1,1,94.0,-17.511413773444776,-17.5114,-18.8,0.0,1.2886
57,20.935126015043913,21.91734803999632,3.274073416508017,0,0,94.0,-17.43275058188552,-17.4328,-18.8,0.0,1.3672
58,21.91734803999632,21.020936310750148,3.678627569179425,2,2,98.0,-18.304504361034716,-18.3045,-19.6,0.0,1.2955
59,21.020936310750148,22.325120744536218,4.347281445953564,0,0,98.0,-18.20046297924167,-18.2005,-19.6,0.0,1.3995
60,22.325120744536218,21.971627972908404,5.488357427907293,2,2,102.0,-19.02843755129496,-19.0284,-20.4,0.0,1.3716
61,21.971627972908404,21.59556860703668,5.41313544709425,2,2,106.0,-19.858402590489284,-19.8584,-21.2,0.0,1.3416
62,21.59556860703668,20.8779990972116,4.274768300583069,2,2,110.0,-20.716016465387916,-20.716,-22.0,0.0,1.284
63,20.8779990972116,20.03273121579003,3.8491070619280983,2,2,114.0,-21.584291686657387,-21.5843,-22.8,0.0,1.2157
64,20.03273121579003,21.416158316124438,4.611423667781359,0,0,114.0,-21.472760716047475,-21.4728,-22.8,0.0,1.3272
65,21.416158316124438,20.453102599000058,3.456480942918729,2,2,118.0,-22.350307159018037,-22.3503,-23.6,0.0,1.2497
66,20.453102599000058,21.49809439886462,3.483305999548538,0,0,118.0,-22.266198899339567,-22.2662,-23.6,0.0,1.3338
67,21.49809439886462,20.603863164971276,3.685895887022187,2,2,122.0,-23.138130451454035,-23.1381,-24.4,0.0,1.2619
68,20.603863164971276,21.63388981152265,3.4334221551712507,0,0,122.0,-23.055340619038233,-23.0553,-24.4,0.0,1.3447
69,21.63388981152265,20.837588134802367,4.012327744265728,2,2,126.0,-23.9192736461672,-23.9193,-25.2,0.0,1.2807
70,20.837588134802367,22.18067359604846,4.476951537486981,0,0,126.0,-23.81186932486768,-23.8119,-25.2,0.0,1.3881
71,22.18067359604846,22.08089710135073,6.334078351007566,2,2,130.0,-24.619768640720327,-24.6198,-26.0,0.0,1.3802
72,22.08089710135073,22.129912870918552,6.830052565226074,2,2,134.0,-25.41588603735148,-25.4159,-26.8,0.0,1.3841
73,22.129912870918552,22.03267181041204,6.342529798311625,2,2,138.0,-26.22359234367125,-26.2236,-27.6,0.0,1.3764
74,22.03267181041204,21.80059932774536,5.8930917244444005,2,2,142.0,-27.042041674769536,-27.042,-28.4,0.0,1.358
75,21.80059932774536,21.368947380780597,5.227826843450796,2,2,146.0,-27.87654484666769,-27.8765,-29.2,0.0,1.3235
76,21.368947380780597,21.165841088171632,5.989645691303452,2,2,150.0,-28.692849590890663,-28.6928,-30.0,0.0,1.3072
77,21.165841088171632,20.82669491520738,5.5361794234524915,2,2,154.0,-29.520151829839126,-29.5202,-30.8,0.0,1.2798
78,20.82669491520738,20.470686156554983,5.479970804492013,2,2,158.0,-30.348886525477283,-30.3489,-31.6,0.0,1.2511
79,20.470686156554983,20.29451002653211,6.079412899923753,2,2,162.0,-31.16312450779622,-31.1631,-32.4,0.0,1.2369
80,20.29451002653211,19.944702778752898,5.5006425074026275,2,2,166.0,-31.9914105883465,-31.9914,-33.2,0.0,1.2086
81,19.944702778752898,19.524417619705435,5.265716136508453,2,2,170.0,-32.825386603232474,-32.8254,-34.0,0.0,1.1746
82,19.524417619705435,18.66222375691303,3.7926871240253197,2,2,174.0,-33.69484553980378,-33.6948,-34.8,0.0,1.1052
83,18.66222375691303,19.540235025551333,2.926704228794349,0,0,174.0,-33.62410866803513,-33.6241,-34.8,0.0,1.1759
84,19.540235025551333,19.281989555263593,2.4725150990408693,1,1,176.0,-34.04496092409013,-34.045,-35.2,0.0,1.155
85,19.281989555263593,20.123526722219854,2.8051238898542064,0,0,176.0,-33.976949207618866,-33.9769,-35.2,0.0,1.2231
86,20.123526722219854,20.251502274562508,3.759918507808844,1,1,178.0,-34.36660141570702,-34.3666,-35.6,0.0,1.2334
87,20.251502274562508,20.37504579174587,3.745145057277875,1,1,180.0,-34.756614803626285,-34.7566,-36.0,0.0,1.2434
88,20.37504579174587,20.561316735937183,3.954236480637717,1,1,182.0,-35.14156595531951,-35.1416,-36.4,0.0,1.2584
89,20.561316735937183,20.787900328579834,4.088611975475502,1,1,184.0,-35.52327993167381,-35.5233,-36.8,0.0,1.2767
90,20.787900328579834,20.274821788451348,4.956404866238385,2,2,188.0,-36.36471613322058,-36.3647,-37.6,0.0,1.2353
91,20.274821788451348,19.976148496020034,5.67108902522895,2,2,192.0,-37.18886756807559,-37.1889,-38.4,0.0,1.2111
92,19.976148496020034,19.74316159928653,5.890043677554984,2,2,196.0,-38.00770737476864,-38.0077,-39.2,0.0,1.1923
93,19.74316159928653,19.26754806972615,5.081288234798734,2,2,200.0,-38.8461261333203,-38.8461,-40.0,0.0,1.1539
94,19.26754806972615,19.008747015608474,5.80399648627441,2,2,204.0,-39.66698736743146,-39.667,-40.8,0.0,1.133
95,19.008747015608474,18.841397272200176,6.108834188639012,2,2,208.0,-40.48045318287048,-40.4805,-41.6,0.0,1.1195
96,18.841397272200176,18.968513500723294,7.090387428410388,2,2,212.0,-41.27022663731596,-41.2702,-42.4,0.0,1.1298
