step,temperature_before,temperature,workload,cooling,action,energy,reward,reward/total,reward/energy_penalty,reward/temp_penalty,reward/stability_bonus
0,35.29114679698329,33.80409597287199,1.7098305862956735,2,2,4.0,1.1936537060254928,1.1937,-0.8,0.0,1.9937
1,33.80409597287199,32.27554828468113,1.571507706030458,2,2,8.0,0.36728108851396457,0.3673,-1.6,0.0,1.9673
2,32.27554828468113,30.72028478971403,1.4824550167763282,2,2,12.0,-0.4797698624626099,-0.4798,-2.4,0.0,1.9202
3,30.72028478971403,29.333497388770656,2.0440419968554187,2,2,16.0,-1.337735374760149,-1.3377,-3.2,0.0,1.8623
4,29.333497388770656,27.91608879971939,1.941971369829109,2,2,20.0,-2.2110442421323633,-2.211,-4.0,0.0,1.789
5,27.91608879971939,28.139315391226294,0.744088638356343,0,0,20.0,-2.198626521274411,-2.1986,-4.0,0.0,1.8014
6,28.139315391226294,26.44229838530945,1.0099433136105151,2,2,24.0,-3.100380525646663,-3.1004,-4.8,0.0,1.6996
7,26.44229838530945,26.681120384553285,0.7960733308127805,0,0,24.0,-3.085089227537156,-3.0851,-4.8,0.0,1.7149
8,26.681120384553285,24.867872299602272,0.6225063834966245,2,2,28.0,-4.007963807503458,-4.008,-5.6,0.0,1.592
9,24.867872299602272,25.082436563459463,0.7152142128573085,0,0,28.0,-3.9926711466796174,-3.9927,-5.6,0.0,1.6073
10,25.082436563459463,23.35275228417427,0.9010524023826851,2,2,32.0,-4.9205297044057605,-4.9205,-6.4,0.0,1.4795
11,23.35275228417427,23.902322089672868,1.8318993516619995,0,0,32.0,-4.87885745778865,-4.8789,-6.4,0.0,1.5211
12,23.902322089672868,22.609484656803147,2.3572085571009347,2,2,36.0,-5.778118774192147,-5.7781,-7.2,0.0,1.4219
13,22.609484656803147,23.343168946519945,2.4456142990560004,0,0,36.0,-5.721263769717776,-5.7213,-7.2,0.0,1.4787
14,23.343168946519945,21.89965605167399,1.8549570171801437,2,2,40.0,-6.634157302019726,-6.6342,-8.0,0.0,1.3658
15,21.89965605167399,22.21262418863098,1.0432271231899701,0,0,40.0,-6.609343255552858,-6.6093,-8.0,0.0,1.3907
16,22.21262418863098,20.584714452438657,1.2403008793589316,2,2,44.0,-7.539676560171863,-7.5397,-8.8,0.0,1.2603
